"","StartDate","EndDate","Status","Progress","Duration..in.seconds.","Finished","RecordedDate","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","DistributionChannel","UserLanguage","HighTime1_First.Click","HighTime1_Last.Click","HighTime1_Page.Submit","HighTime1_Click.Count","HighQ1","HighTime2_First.Click","HighTime2_Last.Click","HighTime2_Page.Submit","HighTime2_Click.Count","HighQ2","HighTime3_First.Click","HighTime3_Last.Click","HighTime3_Page.Submit","HighTime3_Click.Count","HighQ3","LowTime1_First.Click","LowTime1_Last.Click","LowTime1_Page.Submit","LowTime1_Click.Count","LowQ1","LowTime2_First.Click","LowTime2_Last.Click","LowTime2_Page.Submit","LowTime2_Click.Count","LowQ2","LowTime3_First.Click","LowTime3_Last.Click","LowTime3_Page.Submit","LowTime3_Click.Count","LowQ3","Q40_First.Click","Q40_Last.Click","Q40_Page.Submit","Q40_Click.Count","AttitudeQ5_1","Q41_First.Click","Q41_Last.Click","Q41_Page.Submit","Q41_Click.Count","AttitudeQ6_1","AttitudeTime1_First.Click","AttitudeTime1_Last.Click","AttitudeTime1_Page.Submit","AttitudeTime1_Click.Count","AttitudeQ1_1","AttitudeTime2_First.Click","AttitudeTime2_Last.Click","AttitudeTime2_Page.Submit","AttitudeTime2_Click.Count","AttitudeQ2_1","AttitudeTime3_First.Click","AttitudeTime3_Last.Click","AttitudeTime3_Page.Submit","AttitudeTime3_Click.Count","AttitudeQ3_1","AttitudeTime4_First.Click","AttitudeTime4_Last.Click","AttitudeTime4_Page.Submit","AttitudeTime4_Click.Count","AttitudeQ4_1","AttitudeTime7_First.Click","AttitudeTime7_Last.Click","AttitudeTime7_Page.Submit","AttitudeTime7_Click.Count","AttitudeQ7_1","Age","PoliticalView_1","Gender","Race","Race_7_TEXT","Education","Thanks","ID","rtime","high"
"1","5/17/2021 19:11","5/17/2021 19:12",0,100,69,1,"5/17/2021 19:12",NA,NA,NA,NA,"anonymous","EN",2.62,2.62,3.032,1,4,1.198,1.198,1.893,1,3,6.715,8.332,8.36,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.811,3.315,3.923,4,1.95,1.463,1.463,1.768,1,7.82,1.181,1.181,1.552,1,7.48,1.043,1.043,1.574,1,7.91,1.466,2.614,3.089,2,7.85,2.172,2.741,3.216,2,7.85,1.764,1.764,2.14,1,9.34,"1991",2.23,1,"1",NA,5,NA,2326,3.0547,TRUE
"2","5/17/2021 19:11","5/17/2021 19:13",0,100,76,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",1.28,1.28,2.598,1,3,0.86,3.934,4.446,4,4,1.259,1.259,2.182,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.901,1.901,2.873,1,10,1.334,1.918,3.027,3,9.1,1.324,1.861,2.233,2,9.83,0.908,0.908,1.661,1,8.9,1.542,2.546,2.936,2,9.28,1.28,1.28,1.979,1,9.35,1.177,1.67,2.325,2,9.97,"1993",6.89,1,"4",NA,6,NA,4766,2.626,TRUE
"3","5/17/2021 19:11","5/17/2021 19:13",0,100,105,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",9.828,9.828,10.458,1,4,4.598,4.598,5.371,1,3,7.334,7.334,8.154,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.591,12.027,13.386,14,0,1.601,7.22,7.447,5,5.08,4.374,4.919,5.209,2,9.83,1.38,1.83,2.035,2,10,3.054,3.054,3.898,1,10,3.364,3.364,3.947,1,3.89,4.292,4.292,4.763,1,10,"1984",1.39,1,"1",NA,4,NA,1010,6.4668,TRUE
"4","5/17/2021 19:11","5/17/2021 19:13",0,100,109,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.52,11.52,13.583,1,4,10.385,10.385,11.363,1,5,4.163,4.163,5.647,1,3,5.398,5.398,10.046,1,3.58,2.984,2.984,3.881,1,6.25,4.88,4.88,5.712,1,5.93,4.653,4.653,5.423,1,7.1,10.348,10.348,11.286,1,6.17,2.4,5.134,6.571,2,2.52,5.443,5.443,6.886,1,8.73,"1979",1.51,1,"1",NA,6,NA,8516,8.0398,FALSE
"5","5/17/2021 19:11","5/17/2021 19:13",0,100,88,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",5.107,5.107,6.198,1,3,11.404,11.404,12.554,1,3,9.145,9.145,10.359,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.746,3.746,8.537,1,4.01,2.432,2.432,3.496,1,7.13,2.974,2.974,4.575,1,6.85,1.616,1.616,2.574,1,8.54,3.72,3.72,4.678,1,10,3.441,3.441,4.586,1,5.68,3.734,3.734,4.766,1,9.54,"1985",1.18,2,"1",NA,5,NA,5658,6.2323,TRUE
"6","5/17/2021 19:11","5/17/2021 19:13",0,100,109,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",4.609,4.609,6.088,1,3,3.406,3.406,4.392,1,3,3.092,3.092,4.275,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.445,7.445,8.662,1,6.06,2.996,2.996,4.621,1,5.76,4.687,4.687,6.186,1,7.15,3.853,3.853,5.243,1,7.27,4.517,4.517,5.422,1,10,5.195,5.195,6.601,1,7.93,4.142,4.142,5.188,1,7.54,"1983",2.45,2,"1",NA,5,NA,8608,5.6678,TRUE
"7","5/17/2021 19:11","5/17/2021 19:13",0,100,84,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.928,3.928,4.844,1,5,5.459,6.1,6.555,2,4,9.787,9.787,10.669,1,3,4.943,4.943,6.193,1,5.04,1.806,1.806,2.637,1,5.13,4.787,4.787,5.364,1,10,1.726,2.272,2.51,2,10,5.127,6.117,6.949,2,10,5.079,5.079,5.691,1,7.04,3.04,3.04,4.041,1,10,"1985",0,2,"1",NA,3,NA,8860,5.5453,FALSE
"8","5/17/2021 19:12","5/17/2021 19:13",0,100,51,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.221,4.221,6.397,1,5,1.388,1.388,1.961,1,5,0.97,0.97,1.46,1,5,1.271,1.505,2.181,2,8,1.031,1.031,1.716,1,7.8,0.551,1.009,1.478,2,8.49,0.964,0.964,1.985,1,7.31,0.868,0.868,1.436,1,8.2,0.798,0.798,1.958,1,8.49,1.009,1.009,2.582,1,7.27,"1992",10,1,"1",NA,6,NA,6731,2.3154,FALSE
"9","5/17/2021 19:11","5/17/2021 19:13",0,100,124,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",7.206,7.206,8.71,1,2,4.609,4.609,5.636,1,4,4.196,4.196,5.642,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.173,8.173,10.216,1,3.87,5.829,5.829,6.585,1,7.1,12.023,12.023,13.015,1,5.46,2.054,2.547,3.571,2,7.66,5.835,5.835,6.904,1,10,7.108,7.108,8.593,1,3.2,4.725,5.371,6.155,2,6.76,"1993",3.15,2,"1",NA,4,NA,3715,7.5027,TRUE
"10","5/17/2021 19:11","5/17/2021 19:13",0,100,129,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",0,0,13.092,0,2,0,0,4.929,0,3,0,0,2.943,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,13.76,0,2.53,6,6,6.686,1,5.18,4.719,4.719,5.635,1,3.75,5.129,5.129,5.679,1,3.13,8.707,8.707,9.479,1,8.28,6.486,6.486,7.04,1,2.72,5.247,5.247,5.8,1,8.52,"1965",4.68,1,"1",NA,4,NA,9754,7.5043,TRUE
"11","5/17/2021 19:12","5/17/2021 19:13",0,100,77,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",9.04,10.321,11.106,2,3,1.623,1.623,2.697,1,3,1.523,4.148,4.776,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.102,4.813,5.144,2,8.75,3.956,3.956,4.581,1,7.69,2.044,4.015,5.115,2,3.04,1.823,3.364,3.899,3,0,3.285,6.298,7.157,3,10,3.709,3.709,4.531,1,3.69,2.236,2.236,2.794,1,10,"1991",10,1,"1,4",NA,4,NA,9883,5.18,TRUE
"12","5/17/2021 19:11","5/17/2021 19:13",0,100,143,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.822,5.822,6.29,1,5,5.453,5.453,6.128,1,4,18.585,21.305,22.205,3,4,6.713,6.713,7.28,1,8.75,5.186,5.186,5.802,1,10,3.756,3.756,4.297,1,10,3.441,3.441,3.89,1,10,11.248,11.248,12.051,1,10,5.634,5.634,6.137,1,10,10.025,10.631,10.867,2,7.21,"1990",8.23,1,"1",NA,6,NA,9485,8.4947,FALSE
"13","5/17/2021 19:11","5/17/2021 19:13",0,100,124,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",9.26,9.26,10.03,1,3,3.716,3.716,4.535,1,3,3.633,3.633,4.442,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.219,7.219,8.219,1,5.01,4.684,4.684,5.475,1,5.13,4.393,4.393,5.277,1,1.99,2.963,2.963,3.617,1,8.15,6.217,6.217,7.254,1,10,7.148,7.148,7.989,1,2.99,4.031,4.031,4.702,1,9.13,"1977",6.97,2,"1",NA,5,NA,2313,6.154,TRUE
"14","5/17/2021 19:11","5/17/2021 19:13",0,100,136,1,"5/17/2021 19:13",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.929,13.929,14.844,1,5,8.221,8.221,9.44,1,4,6.825,6.825,7.915,1,4,4.57,4.57,5.929,1,7.15,4.639,4.639,5.894,1,7.54,3.95,3.95,4.857,1,8.86,3.955,3.955,5.02,1,6.82,3.537,3.537,4.714,1,7,1.719,1.719,3.838,1,4.27,3.061,3.54,4.406,2,9.04,"1991",1.11,1,"1",NA,5,NA,9232,6.6857,FALSE
"16","5/17/2021 19:11","5/17/2021 19:14",0,100,164,1,"5/17/2021 19:14",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.547,7.547,8.79,1,3,12.394,12.394,13.549,1,3,5.744,5.744,7.765,1,1,8.251,8.251,9.814,1,4,5.682,5.682,7.013,1,5,13.239,13.239,14.65,1,4,12.474,12.474,13.918,1,5,7.923,7.923,9.198,1,9,8.152,8.152,9.447,1,2,6.746,6.746,7.978,1,9,"1987",1,2,"1",NA,5,NA,1231,10.2122,FALSE
"17","5/17/2021 19:11","5/17/2021 19:14",0,100,145,1,"5/17/2021 19:14",NA,NA,NA,NA,"anonymous","EN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.439,4.439,5.332,1,4,10.405,10.405,11.06,1,5,3.373,3.373,4.276,1,2,3.851,26.351,27.107,31,0,2.435,4.872,5.732,3,0,2.364,14.794,15.158,12,0,3.763,3.763,4.834,1,0,0.639,3.766,4.669,7,0,1.73,1.73,2.925,1,0,2.615,2.615,3.416,1,0,"1983",6.25,1,"6",NA,5,NA,2050,8.4509,FALSE
"18","5/17/2021 19:12","5/17/2021 19:14",0,100,121,1,"5/17/2021 19:14",NA,NA,NA,NA,"anonymous","EN",4.731,12.438,17.653,2,1,2.972,2.972,4.312,1,3,5.528,5.528,6.456,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.139,4.139,5.816,1,5.11,3.742,3.742,4.702,1,10,2.686,2.686,3.528,1,10,5.669,5.669,6.847,1,10,4.874,4.874,5.611,1,10,4.049,4.049,4.768,1,10,21.337,21.337,22.558,1,9.14,"1977",0,1,"1",NA,2,NA,7671,8.2251,TRUE
